Tỉnh,Latitude,Longitude,Địa điểm
Bình Dương,10.981517,106.667341,Bưu điện Tỉnh
Đồng Nai,10.95099,106.818279,Bưu điện Tỉnh
Đà Nẵng,16.059752,108.211599,Bưu điện Tỉnh
Hải Phòng,20.863927,106.681473,Bưu điện Tỉnh
Cần Thơ,10.045777,105.782114,Chợ trung tâm
Quảng Ninh,20.952032,107.085633,Bưu điện Tỉnh
An Giang,10.383062,105.445292,Chợ trung tâm
Thanh Hóa,19.807975,105.777152,Bưu điện Tỉnh
Bà Rịa,10.497988,107.167986,Bưu điện Tỉnh
Vũng Tàu,10.351755,107.088743,Bưu điện Tỉnh
Thừa Thiên - Huế,16.465004,107.5904,Bưu điện Tỉnh
Khánh Hòa,12.253645,109.196029,Bưu điện Tỉnh
Kiên Giang,10.018123,105.081653,TTTM Tỉnh
Lâm Đồng,11.940283,108.436942,Bưu điện Thành phố
Bình Thuận,10.928508,108.109842,Bưu điện Tỉnh
Bình Định,13.77095,109.2277,Bưu điện Tỉnh
Nghệ An,18.670543,105.684299,Bưu điện Tỉnh
Đắk Lắk,12.679746,108.044153,Bưu điện Thành phố
Hải Dương,20.938806,106.320728,Ngã tư Máy Sứ
Gia Lai,13.977296,108.001521,Bưu điện Tỉnh
Thái Nguyên,21.593842,105.840154,Bưu điện Tỉnh
Sóc Trăng,9.604324,105.976416,Chợ trung tâm
Quảng Nam,15.578903,108.474547,Bưu điện Tỉnh
Bắc Ninh,21.180192,106.072188,Bưu điện Tỉnh
Nam Định,20.424657,106.173921,Bưu điện Tỉnh
Đồng Tháp,10.46669,105.642654,Chợ trung tâm
Cà Mau,9.175907,105.148364,Chợ trung tâm
Vĩnh Yên,21.307751,105.593617,Bưu điện Tỉnh
Tiền Giang,10.357418,106.367684,Chợ trung tâm
Long An,10.538782,106.413155,Chợ trung tâm
Phú Thọ,21.307402,105.405916,Bưu điện Tỉnh
Phú Yên,13.086982,109.307163,Bưu điện Tỉnh
Bạc Liêu,9.28654,105.725114,Chợ trung tâm
Tây Ninh,11.313788,106.097171,Bưu điện Tỉnh
Hà Tĩnh,18.339646,105.895042,Bưu điện Tỉnh
Ninh Thuận,11.575014,108.991928,Bưu điện Tỉnh
Bình Phước,,,
Ninh Bình,,,
Hậu Giang,9.783939,105.4685,Chợ trung tâm
Bắc Giang,,,
Quảng Ngãi,,,
Trà Vinh,,,
Quảng Trị,,,
Kon Tum,,,
Thái Bình,,,
Vĩnh Long,10.255994,105.972603,Chợ trung tâm
Quảng Bình,,,
Sơn La,,,
Yên Bái,,,
Lào Cai,,,
Lạng Sơn,,,
Hưng Yên,,,
Bến Tre,10.235069,106.376201,Chợ trung tâm
Hà Nam,,,
Hà Giang,,,
Cao Bằng,,,
Hòa Bình,,,
Tuyên Quang,,,
Đắk Nông,,,
Điện Biên,,,
Lai Châu,,,
<<<<<<< HEAD
Bắc Kạn,,,
Cai Lậy,10.405241,106.118391,Bưu điện Cai Lậy
Trà Vinh,9.935549,106.342423,Chợ trung tâm
Châu Đốc,10.711073,105.118916,Chợ trung tâm
Gò Công,10.360461,106.67292,Chợ trung tâm
Sa Đéc,10.291771,105.767649,Chợ trung tâm
Bảo Lộc,11.542391,107.81163,Bưu điện TP
=======
Bắc Kạn,,,
>>>>>>> parent of 91161e2... Sep4
